Customer ID,Document Type,Document ID,Reference,Document Date,Due Date,Payment Date,Arrear Days,Amount,Currency,Dispute,Dispute Date,Dispute Reason,Dispute Resolution Date,Dispute Resolution Time
10000,Invoice,1000014,1000014,11-01-2023,12-03-2023,05-03-2023,-7,3239.68,EUR,No,,,,
10000,Invoice,1000042,1000042,14-01-2023,15-03-2023,10-03-2023,-5,4277.94,EUR,No,,,,
10000,Invoice,1000055,1000055,16-01-2023,17-03-2023,12-05-2023,56,8610.18,EUR,Yes,23-02-2023,Product Defect,09-05-2023,75
10000,Invoice,1000000,1000000,19-01-2023,20-03-2023,20-03-2023,0,2222.78,EUR,No,,,,
10000,Invoice,1000044,1000044,23-02-2023,24-04-2023,10-04-2023,-14,4198.44,EUR,No,,,,
10000,Invoice,1000021,1000021,07-03-2023,06-05-2023,30-04-2023,-6,640.3,EUR,No,,,,
10000,Invoice,1000037,1000037,13-03-2023,12-05-2023,28-04-2023,-14,7453.59,EUR,No,,,,
10000,Invoice,1000048,1000048,25-03-2023,24-05-2023,27-07-2023,64,7376.84,EUR,Yes,11-05-2023,Product Defect,26-07-2023,76
10000,Invoice,1000041,1000041,03-04-2023,02-06-2023,25-05-2023,-8,9046.56,EUR,No,,,,
10000,Invoice,1000019,1000019,10-04-2023,09-06-2023,07-06-2023,-2,1784.18,EUR,No,,,,
10000,Invoice,1000010,1000010,20-04-2023,19-06-2023,07-06-2023,-12,4160.39,EUR,No,,,,
10000,Invoice,1000022,1000022,28-04-2023,27-06-2023,23-07-2023,26,8031.49,EUR,Yes,27-06-2023,Product Defect,21-07-2023,24
10000,Invoice,1000039,1000039,28-04-2023,27-06-2023,21-06-2023,-6,1098.85,EUR,No,,,,
10000,Credit Note,1006379,1000055,09-05-2023,09-05-2023,09-05-2023,0,-8610.18,EUR,No,,,,
10000,Invoice,1000038,1000038,03-07-2023,01-09-2023,10-11-2023,70,4878.85,EUR,Yes,12-08-2023,Billing,08-11-2023,88
10000,Invoice,1000049,1000049,23-07-2023,21-09-2023,24-10-2023,33,883.32,EUR,Yes,16-08-2023,Billing,22-10-2023,67
10000,Invoice,1000035,1000035,28-07-2023,26-09-2023,21-10-2023,25,6471.09,EUR,Yes,18-08-2023,Pricing,19-10-2023,62
10000,Invoice,1000015,1000015,03-09-2023,02-11-2023,28-10-2023,-5,7805.34,EUR,No,,,,
10000,Invoice,1000031,1000031,06-09-2023,05-11-2023,27-10-2023,-9,5468.59,EUR,No,,,,
10000,Invoice,1000005,1000005,08-09-2023,07-11-2023,23-10-2023,-15,9880.05,EUR,No,,,,
10000,Invoice,1000036,1000036,11-09-2023,10-11-2023,04-11-2023,-6,7821.12,EUR,Yes,04-10-2023,Pricing,30-10-2023,26
10000,Invoice,1000032,1000032,14-09-2023,13-11-2023,04-11-2023,-9,433.17,EUR,No,,,,
10000,Invoice,1000020,1000020,30-10-2023,29-12-2023,18-12-2023,-11,9283.73,EUR,No,,,,
10000,Invoice,1000024,1000024,05-11-2023,04-01-2024,20-12-2023,-15,3734.34,EUR,No,,,,
10000,Credit Note,1006378,1000038,08-11-2023,08-11-2023,08-11-2023,0,-4878.85,EUR,No,,,,
10000,Invoice,1000006,1000006,11-11-2023,10-01-2024,04-01-2024,-6,6057.16,EUR,No,,,,
10000,Invoice,1000058,1000058,28-12-2023,26-02-2024,18-02-2024,-8,6781.53,EUR,No,,,,
10000,Invoice,1000033,1000033,07-01-2024,07-03-2024,21-02-2024,-15,5674.78,EUR,No,,,,
10000,Invoice,1000030,1000030,29-01-2024,29-03-2024,22-03-2024,-7,4349.74,EUR,No,,,,
10000,Invoice,1000018,1000018,07-02-2024,07-04-2024,28-03-2024,-10,7159.44,EUR,No,,,,
10000,Invoice,1000004,1000004,21-02-2024,21-04-2024,13-04-2024,-8,6356.52,EUR,No,,,,
10000,Invoice,1000025,1000025,22-02-2024,22-04-2024,15-04-2024,-7,9498.32,EUR,No,,,,
10000,Invoice,1000056,1000056,11-04-2024,10-06-2024,02-06-2024,-8,573.9,EUR,No,,,,
10000,Invoice,1000057,1000057,21-04-2024,20-06-2024,12-07-2024,22,6667.15,EUR,No,,,,
10000,Invoice,1000051,1000051,30-04-2024,29-06-2024,28-06-2024,-1,5724.41,EUR,No,,,,
10000,Invoice,1000007,1000007,09-05-2024,08-07-2024,05-08-2024,28,3452.56,EUR,No,,,,
10000,Invoice,1000009,1000009,14-05-2024,13-07-2024,11-07-2024,-2,1083.06,EUR,No,,,,
10000,Invoice,1000008,1000008,16-06-2024,15-08-2024,03-08-2024,-12,205.24,EUR,No,,,,
10000,Invoice,1000027,1000027,17-06-2024,16-08-2024,11-08-2024,-5,8454.26,EUR,Yes,26-06-2024,Pricing,09-08-2024,44
10000,Invoice,1000050,1000050,04-07-2024,02-09-2024,11-09-2024,9,1018.5,EUR,Yes,24-07-2024,Billing,08-09-2024,46
10000,Invoice,1000052,1000052,13-07-2024,11-09-2024,31-08-2024,-11,5149.25,EUR,No,,,,
10000,Invoice,1000001,1000001,25-07-2024,23-09-2024,16-09-2024,-7,7154.92,EUR,No,,,,
10000,Invoice,1000047,1000047,31-07-2024,29-09-2024,27-09-2024,-2,2771.2,EUR,No,,,,
10000,Invoice,1000043,1000043,05-08-2024,04-10-2024,25-09-2024,-9,6670.67,EUR,No,,,,
10000,Credit Note,1006377,1000027,09-08-2024,09-08-2024,09-08-2024,0,-8454.26,EUR,No,,,,
10000,Invoice,1000013,1000013,24-08-2024,23-10-2024,27-12-2024,65,8769.06,EUR,Yes,14-09-2024,Pricing,22-12-2024,99
10000,Invoice,1000023,1000023,26-08-2024,25-10-2024,24-10-2024,-1,2324.71,EUR,No,,,,
10000,Invoice,1000046,1000046,27-08-2024,26-10-2024,16-10-2024,-10,9912.85,EUR,No,,,,
10000,Invoice,1000011,1000011,30-08-2024,29-10-2024,29-10-2024,0,2491.81,EUR,No,,,,
10000,Invoice,1000045,1000045,09-09-2024,08-11-2024,07-11-2024,-1,7182.12,EUR,No,,,,
10000,Invoice,1000028,1000028,18-09-2024,17-11-2024,09-11-2024,-8,6920.23,EUR,No,,,,
10000,Invoice,1000002,1000002,23-09-2024,22-11-2024,10-11-2024,-12,696.58,EUR,No,,,,
10000,Invoice,1000017,1000017,01-10-2024,30-11-2024,27-11-2024,-3,2656.44,EUR,No,,,,
10000,Invoice,1000040,1000040,25-10-2024,24-12-2024,11-12-2024,-13,3954.92,EUR,No,,,,
10000,Invoice,1000029,1000029,30-10-2024,29-12-2024,28-12-2024,-1,947.71,EUR,No,,,,
10000,Invoice,1000034,1000034,03-11-2024,02-01-2025,27-12-2024,-6,1663.02,EUR,No,,,,
10000,Invoice,1000054,1000054,07-11-2024,06-01-2025,22-12-2024,-15,9136.53,EUR,No,,,,
10000,Invoice,1000003,1000003,09-11-2024,08-01-2025,05-01-2025,-3,1686.79,EUR,No,,,,
10000,Invoice,1000026,1000026,11-11-2024,10-01-2025,07-01-2025,-3,4522.64,EUR,No,,,,
10000,Invoice,1000012,1000012,19-11-2024,18-01-2025,03-01-2025,-15,4220.18,EUR,No,,,,
10000,Invoice,1000053,1000053,05-12-2024,03-02-2025,21-01-2025,-13,2031.53,EUR,No,,,,
10000,Invoice,1000016,1000016,06-12-2024,04-02-2025,28-01-2025,-7,631.08,EUR,No,,,,
10000,Credit Note,1006376,1000013,22-12-2024,22-12-2024,22-12-2024,0,-8769.06,EUR,No,,,,
10001,Invoice,1000107,1000107,08-01-2023,07-02-2023,13-03-2023,34,4014.88,EUR,Yes,24-01-2023,Product Defect,09-03-2023,44
10001,Invoice,1000113,1000113,08-01-2023,07-02-2023,03-02-2023,-4,6781.99,EUR,No,,,,
10001,Invoice,1000064,1000064,14-01-2023,13-02-2023,03-02-2023,-10,7387.28,EUR,No,,,,
10001,Invoice,1000117,1000117,14-01-2023,13-02-2023,30-03-2023,45,5221.42,EUR,Yes,04-02-2023,Product Defect,26-03-2023,50
10001,Invoice,1000084,1000084,18-01-2023,17-02-2023,05-02-2023,-12,7903.28,EUR,No,,,,
10001,Invoice,1000077,1000077,27-01-2023,26-02-2023,17-02-2023,-9,1812.58,EUR,No,,,,
10001,Invoice,1000082,1000082,29-01-2023,28-02-2023,16-02-2023,-12,5519.42,EUR,No,,,,
10001,Credit Note,1006387,1000107,09-03-2023,09-03-2023,09-03-2023,0,-4014.88,EUR,No,,,,
10001,Invoice,1000081,1000081,12-03-2023,11-04-2023,02-04-2023,-9,9792.5,EUR,No,,,,
10001,Invoice,1000068,1000068,21-03-2023,20-04-2023,16-04-2023,-4,9928.98,EUR,No,,,,
10001,Invoice,1000098,1000098,22-03-2023,21-04-2023,12-04-2023,-9,3613.26,EUR,No,,,,
10001,Invoice,1000085,1000085,30-03-2023,29-04-2023,15-04-2023,-14,9639.81,EUR,No,,,,
10001,Invoice,1000076,1000076,04-04-2023,04-05-2023,30-04-2023,-4,7486.22,EUR,No,,,,
10001,Invoice,1000108,1000108,09-04-2023,09-05-2023,04-06-2023,26,9249.84,EUR,No,,,,
10001,Invoice,1000063,1000063,04-05-2023,03-06-2023,16-06-2023,13,4290.47,EUR,Yes,17-05-2023,Product Defect,15-06-2023,29
10001,Invoice,1000100,1000100,10-06-2023,10-07-2023,08-07-2023,-2,4541.75,EUR,No,,,,
10001,Credit Note,1006381,1000063,15-06-2023,15-06-2023,15-06-2023,0,-4290.47,EUR,No,,,,
10001,Invoice,1000092,1000092,23-06-2023,23-07-2023,30-09-2023,69,2672.27,EUR,Yes,12-07-2023,Billing,29-09-2023,79
10001,Invoice,1000065,1000065,17-07-2023,16-08-2023,04-08-2023,-12,3247.58,EUR,No,,,,
10001,Invoice,1000080,1000080,24-07-2023,23-08-2023,08-08-2023,-15,1264.79,EUR,No,,,,
10001,Invoice,1000104,1000104,26-08-2023,25-09-2023,19-09-2023,-6,1005.22,EUR,No,,,,
10001,Invoice,1000069,1000069,10-09-2023,10-10-2023,08-10-2023,-2,2997.27,EUR,No,,,,
10001,Invoice,1000086,1000086,20-09-2023,20-10-2023,10-10-2023,-10,2212.5,EUR,No,,,,
10001,Invoice,1000101,1000101,29-09-2023,29-10-2023,17-12-2023,49,2830.59,EUR,Yes,24-10-2023,Pricing,15-12-2023,52
10001,Credit Note,1006383,1000092,29-09-2023,29-09-2023,29-09-2023,0,-2672.27,EUR,No,,,,
10001,Invoice,1000071,1000071,12-10-2023,11-11-2023,28-10-2023,-14,2165.02,EUR,No,,,,
10001,Invoice,1000110,1000110,16-10-2023,15-11-2023,15-11-2023,0,745.12,EUR,No,,,,
