Customer ID,Customer Name,Region,Payment Terms
10000,Premium Liubangosaurus Inc.,Benelux,60
10001,Creative Minmi Solutions,Benelux,30
10002,Dynamic Matheronodon LLC,Benelux,60
10003,Visionary Gigantosaurus LLC,Benelux,60
10004,Creative Avaceratops Co.,Benelux,30
10005,Modern Huabeisaurus LLC,Benelux,30
10006,Dynamic Kazaklambia Tech,Benelux,60
10007,Visionary Cerasinops Corporation,Benelux,60
10008,Revolutionary Calvarius Solutions,Benelux,30
10009,Innovative Glishades Inc.,Benelux,30
10010,Revolutionary Fukuisaurus Corp.,Benelux,30
10011,Modern Trachodon Co.,Benelux,30
10012,Ethical Alnashetri Inc.,Benelux,60
10013,Innovative Coloradisaurus Group,Benelux,30
10014,Visionary Fushanosaurus LLC,Benelux,30
10015,Creative Succinodon Holdings,DACH,30
10016,Innovative Lisboasaurus Group,DACH,60
10017,Creative Ningyuansaurus Group,DACH,30
10018,Premium Suchomimus Enterprises,DACH,30
10019,Authentic Terminocavus Holdings,DACH,60
10020,Pioneering Tharosaurus Holdings,DACH,60
10021,Dynamic Vouivria LLC,DACH,30
10022,Revolutionary Rajasaurus LLC,DACH,30
10023,Bold Gyposaurus Partners,DACH,30
10024,Ethical Limnornis Corp.,DACH,60
10025,Creative Aepyornithomimus Group,DACH,60
10026,Authentic Lohuecotitan Co.,DACH,30
10027,Creative Protarchaeopteryx Inc.,DACH,30
10028,Global Gobiceratops Holdings,DACH,60
10029,Revolutionary Jingshanosaurus Enterprises,DACH,60
10030,Revolutionary Pentaceratops Co.,DACH,30
10031,Premium Squalodon Corporation,DACH,60
10032,Dynamic Jinyunpelta LLC,DACH,60
10033,Leading Aristosuchus Enterprises,DACH,30
10034,Ethical Bainoceratops Ltd,DACH,30
10035,Revolutionary Silvisaurus Co.,DACH,60
10036,Authentic Baiyinosaurus Holdings,DACH,60
10037,Dynamic Maiasaura Ltd,DACH,60
10038,Modern Ajnabia Corporation,DACH,30
10039,Dynamic Deinodon Co.,DACH,30
10040,Ethical Losillasaurus Holdings,France,60
10041,Global Cheneosaurus Corp.,France,30
10042,Revolutionary Menefeeceratops Ltd,France,30
10043,Strategic Datai Co.,France,30
10044,Premium Ischioceratops LLC,France,60
10045,Modern Quaesitosaurus Co.,France,60
10046,Innovative Claosaurus Partners,France,30
10047,Bold Maxakalisaurus Partners,France,30
10048,Modern Archaeoraptor Corp.,France,30
10049,Creative Claosaurus Solutions,France,60
10050,Leading Terminocavus Co.,France,30
10051,Modern Yehuecauhceratops Co.,France,30
10052,Bold Xixianykus Solutions,France,30
10053,Dynamic Tengrisaurus Ltd,France,60
10054,Creative Hesperosaurus Corp.,France,30
10055,Leading Nomingia Partners,France,30
10056,Authentic Gobiraptor Co.,France,30
10057,Global Itemirus Co.,France,60
10058,Revolutionary Mendozasaurus LLC,France,30
10059,Innovative Fusuisaurus LLC,France,60
10060,Leading Suzhousaurus Ltd,Italy,30
10061,Creative Rayososaurus Ltd,Italy,30
10062,Global Hylaeosaurus Holdings,Italy,60
10063,Bold Calamospondylus Holdings,Italy,30
10064,Authentic Raptorex Solutions,Italy,60
10065,Pioneering Amargatitanis Co.,Italy,60
10066,Creative Trialestes Holdings,Italy,30
10067,Leading Eobrontosaurus Enterprises,Italy,60
10068,Authentic Sanjuansaurus Group,Italy,60
10069,Revolutionary Galtonia Corporation,Italy,60
10070,Authentic Uberabatitan Holdings,Nordics,30
10071,Dynamic Sacisaurus LLC,Nordics,60
10072,Bold Rachitrema Ltd,Nordics,60
10073,Ethical Nanuqsaurus Corporation,Nordics,30
10074,Ethical Eousdryosaurus Corporation,Nordics,60
10075,Modern Allosaurus Partners,Nordics,60
10076,Creative Anserimimus Corp.,Nordics,60
10077,Ethical Ceratonykus Corporation,Nordics,30
10078,Premium Claosaurus Enterprises,Nordics,30
10079,Pioneering Rinconsaurus Solutions,Nordics,30
10080,Visionary Secernosaurus Holdings,Nordics,30
10081,Ethical Vectisaurus LLC,Nordics,30
10082,Bold Archaeornis Group,Nordics,30
10083,Leading Colepiocephale Enterprises,Nordics,60
10084,Authentic Micropachycephalosaurus Co.,Nordics,60
10085,Authentic Coelurosauravus Co.,Spain,60
10086,Authentic Oryctodromeus Solutions,Spain,30
10087,Premium Notatesseraeraptor Ltd,Spain,60
10088,Strategic Bravoceratops Tech,Spain,30
10089,Leading Archaeoraptor Enterprises,Spain,60
10090,Dynamic Lagerpeton Tech,Spain,60
10091,Bold Arcusaurus Group,Spain,60
10092,Strategic Jubbulpuria Partners,Spain,30
10093,Authentic Microhadrosaurus Enterprises,Spain,60
10094,Premium Thecocoelurus Co.,Spain,30
10095,Creative Aeolosaurus Holdings,Spain,30
10096,Innovative Acrocanthosaurus Ltd,Spain,30
10097,Dynamic Gasparinisaura Co.,Spain,60
10098,Pioneering Titanomachya Group,Spain,30
10099,Pioneering Mandschurosaurus Corp.,Spain,30
